error_type,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.adj,p.adj.signif,y.position,groups,xmin,xmax
over_seg,0.8333484204190321,rate,3D,2D,800,800,5557.5,0.328,-1.0715023418933636,2.597456053313934,Wilcoxon,two.sided,0.656,ns,7.907686112526939,,1,2
under_seg,-2.272778360056158,rate,3D,2D,800,800,8224.5,0.00121,-4.805523667282093,-0.8333819277383268,Wilcoxon,two.sided,0.00242,**,7.907686112526939,,1,2
