area_category,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.adj,p.adj.signif,y.position,groups,xmin,xmax
Tiny,0.008064623579172666,value,3D,2D,117,55,3478.5,0.392,-0.010173805350120852,0.0282442140082146,Wilcoxon,two.sided,1,ns,0.9255977949919886,,1,2
Small,0.007853821633499142,value,3D,2D,1981,1630,1725195,3.85e-4,0.0035434622286811823,0.012185520623307123,Wilcoxon,two.sided,0.00154,**,0.9255977949919886,,1,2
Medium,0.009527806991164005,value,3D,2D,2006,1791,1958381,1.55e-6,0.005665697847768268,0.013462733077805818,Wilcoxon,two.sided,6.2e-6,****,0.9255977949919886,,1,2
Large,0.00825851855519131,value,3D,2D,1898,1816,1895607.5,1.35e-7,0.005202263178613247,0.01136672626047607,Wilcoxon,two.sided,5.4e-7,****,0.9255977949919886,,1,2
