area_category,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.adj,p.adj.signif,y.position,groups,xmin,xmax
Tiny,-2.8413193622529787,value,3D,2D,117,55,2772.5,0.144,-6.503796424353063,0.951868932138889,Wilcoxon,two.sided,0.576,ns,23.6713617744553,,1,2
Small,-0.19085331232946828,value,3D,2D,1981,1630,1591872,0.468,-0.7119243470918393,0.32391485987579555,Wilcoxon,two.sided,1,ns,23.6713617744553,,1,2
Medium,0.14862164621955762,value,3D,2D,2006,1791,1821768,0.451,-0.2392600005257511,0.5435880917704125,Wilcoxon,two.sided,1,ns,23.6713617744553,,1,2
Large,-0.12857061989594595,value,3D,2D,1898,1816,1693014,0.353,-0.4051438378319719,0.1424239016324506,Wilcoxon,two.sided,1,ns,23.6713617744553,,1,2
