id,subject,fold,model,th,f1
SR007-CL2-3900-3964,SR007,1,2D,0.9,0.17926968863178555
SR007-CL2-3900-3964,SR007,1,2D,0.95,0
SR007-CL2-440-504,SR007,1,3D,0.5,0.7608552631130211
SR007-CL2-440-504,SR007,1,3D,0.55,0.7608552631130211
SR007-CL2-440-504,SR007,1,3D,0.6,0.7608552631130211
SR007-CL2-440-504,SR007,1,3D,0.65,0.7469663742249038
SR007-CL2-440-504,SR007,1,3D,0.7,0.7191885964486692
SR007-CL2-440-504,SR007,1,3D,0.75,0.6765168128253789
SR007-CL2-440-504,SR007,1,3D,0.8,0.6022478069818836
SR007-CL2-440-504,SR007,1,3D,0.85,0.4991959064032153
SR007-CL2-440-504,SR007,1,3D,0.9,0.4103070175196351
SR007-CL2-440-504,SR007,1,3D,0.95,0
SR007-CL2-440-504,SR007,1,2D,0.5,0.7188545102540803
SR007-CL2-440-504,SR007,1,2D,0.55,0.6949908738915854
SR007-CL2-440-504,SR007,1,2D,0.6,0.6949908738915854
SR007-CL2-440-504,SR007,1,2D,0.65,0.6949908738915854
SR007-CL2-440-504,SR007,1,2D,0.7,0.6727576723115469
SR007-CL2-440-504,SR007,1,2D,0.75,0.6727576723115469
SR007-CL2-440-504,SR007,1,2D,0.8,0.5789705860231739
SR007-CL2-440-504,SR007,1,2D,0.85,0.40635005248384143
SR007-CL2-440-504,SR007,1,2D,0.9,0.28968895805361006
SR007-CL2-440-504,SR007,1,2D,0.95,0.03359683794315838
SR007-CL2-7230-7294,SR007,1,3D,0.5,0.911721611655955
SR007-CL2-7230-7294,SR007,1,3D,0.55,0.8924908424266651
SR007-CL2-7230-7294,SR007,1,3D,0.6,0.8383241757639567
SR007-CL2-7230-7294,SR007,1,3D,0.65,0.7304029303505355
SR007-CL2-7230-7294,SR007,1,3D,0.7,0.7137362636849799
SR007-CL2-7230-7294,SR007,1,3D,0.75,0.6804029303538688
SR007-CL2-7230-7294,SR007,1,3D,0.8,0.5494963369571115
SR007-CL2-7230-7294,SR007,1,3D,0.85,0.3031135530917771
SR007-CL2-7230-7294,SR007,1,3D,0.9,0.14381868130826667
SR007-CL2-7230-7294,SR007,1,3D,0.95,0.037087912085157285
SR007-CL2-7230-7294,SR007,1,2D,0.5,0.8292124541481999
SR007-CL2-7230-7294,SR007,1,2D,0.55,0.8083791208166027
SR007-CL2-7230-7294,SR007,1,2D,0.6,0.7309981684416735
SR007-CL2-7230-7294,SR007,1,2D,0.65,0.673076923024919
SR007-CL2-7230-7294,SR007,1,2D,0.7,0.6151556776081645
SR007-CL2-7230-7294,SR007,1,2D,0.75,0.5959249083788745
SR007-CL2-7230-7294,SR007,1,2D,0.8,0.49771062267234817
SR007-CL2-7230-7294,SR007,1,2D,0.85,0.30906593404194715
SR007-CL2-7230-7294,SR007,1,2D,0.9,0.16941391940111106
SR007-CL2-7230-7294,SR007,1,2D,0.95,0.01923076922928994
