id,subject,fold,model,fp_rate
SR009-CR1-7400-7464,SR009,3,2D,44.827586206896555
SR009-CR2-1990-2054,SR009,3,3D,22.22222222222222
SR009-CR2-1990-2054,SR009,3,2D,22.22222222222222
SR009-CR3-1300-1364,SR009,3,3D,10
SR009-CR3-1300-1364,SR009,3,2D,9.090909090909092
SR009-CR3-2100-2164,SR009,3,3D,31.57894736842105
SR009-CR3-2100-2164,SR009,3,2D,30
SR009-CR3-800-864,SR009,3,3D,8.333333333333332
SR009-CR3-800-864,SR009,3,2D,30.76923076923077
SR009-TL1-4050-4114,SR009,3,3D,13.333333333333334
SR009-TL1-4050-4114,SR009,3,2D,18.75
SR009-TL1-4520-4584,SR009,3,3D,15
SR009-TL1-4520-4584,SR009,3,2D,20
SR009-TL1-6130-6194,SR009,3,3D,14.285714285714285
SR009-TL1-6130-6194,SR009,3,2D,20
SR009-TR1-2930-2994,SR009,3,3D,21.428571428571427
SR009-TR1-2930-2994,SR009,3,2D,20
SR009-TR1-5300-5364,SR009,3,3D,17.647058823529413
SR009-TR1-5300-5364,SR009,3,2D,22.22222222222222
SR010-CL1-4068-4132,SR010,4,3D,46.15384615384615
SR010-CL1-4068-4132,SR010,4,2D,57.14285714285714
SR010-CL1-6954-7018,SR010,4,3D,10
SR010-CL1-6954-7018,SR010,4,2D,36.36363636363637
SR010-CL2-1125-1189,SR010,4,3D,26.666666666666668
SR010-CL2-1125-1189,SR010,4,2D,21.428571428571427
SR010-CL2-3303-3367,SR010,4,3D,18.181818181818183
SR010-CL2-3303-3367,SR010,4,2D,30
SR010-CL2-997-1061,SR010,4,3D,7.6923076923076925
SR010-CL2-997-1061,SR010,4,2D,15.384615384615385
SR010-CR1-5758-5822,SR010,4,3D,16.666666666666664
SR010-CR1-5758-5822,SR010,4,2D,50
SR010-CR1-7692-7756,SR010,4,3D,18.181818181818183
SR010-CR1-7692-7756,SR010,4,2D,33.33333333333333
SR010-TL1-1100-1164,SR010,4,3D,0
SR010-TL1-1100-1164,SR010,4,2D,0
SR010-TL1-2764-2828,SR010,4,3D,0
SR010-TL1-2764-2828,SR010,4,2D,12.5
SR010-TL1-4236-4300,SR010,4,3D,20
SR010-TL1-4236-4300,SR010,4,2D,9.090909090909092
SR010-TR1-1055-1119,SR010,4,3D,40
SR010-TR1-1055-1119,SR010,4,2D,20
SR010-TR1-1183-1247,SR010,4,3D,50
SR010-TR1-1183-1247,SR010,4,2D,22.22222222222222
SR010-TR1-119-183,SR010,4,3D,0
SR010-TR1-119-183,SR010,4,2D,0
SR010-TR1-1439-1503,SR010,4,3D,20
SR010-TR1-1439-1503,SR010,4,2D,30
SR010-TR1-1619-1683,SR010,4,3D,37.5
SR010-TR1-1619-1683,SR010,4,2D,75
SR010-TR1-1747-1811,SR010,4,3D,33.33333333333333
SR010-TR1-1747-1811,SR010,4,2D,33.33333333333333
SR010-TR1-183-247,SR010,4,3D,100
SR010-TR1-183-247,SR010,4,2D,50
SR010-TR1-1875-1939,SR010,4,3D,42.857142857142854
SR010-TR1-1875-1939,SR010,4,2D,33.33333333333333
SR010-TR1-619-683,SR010,4,3D,0
SR010-TR1-619-683,SR010,4,2D,0
SR010-TR1-939-1003,SR010,4,3D,18.181818181818183
SR010-TR1-939-1003,SR010,4,2D,9.090909090909092
SR011-CL1-2300-2364,SR011,5,3D,122.22222222222223
SR011-CL1-2300-2364,SR011,5,2D,600
SR011-CL1-2850-2914,SR011,5,3D,30.76923076923077
SR011-CL1-2850-2914,SR011,5,2D,142.85714285714286
SR011-CL1-7000-7064,SR011,5,3D,85.71428571428571
SR011-CL1-7000-7064,SR011,5,2D,171.42857142857142
SR011-CL2-4040-4104,SR011,5,3D,12.5
SR011-CL2-4040-4104,SR011,5,2D,50
SR011-CR1-1850-1914,SR011,5,3D,100
SR011-CR1-1850-1914,SR011,5,2D,850
SR011-CR1-6100-6164,SR011,5,3D,15.384615384615385
SR011-CR1-6100-6164,SR011,5,2D,30.76923076923077
SR011-CR1-6780-6844,SR011,5,3D,42.857142857142854
SR011-CR1-6780-6844,SR011,5,2D,35.714285714285715
SR011-TL1-4428-4492,SR011,5,3D,0
SR011-TL1-4428-4492,SR011,5,2D,0
SR011-TL1-5500-5564,SR011,5,3D,0
SR011-TL1-5500-5564,SR011,5,2D,0
SR011-TL1-6164-6228,SR011,5,3D,0
SR011-TL1-6164-6228,SR011,5,2D,0
SR011-TL1-6700-6764,SR011,5,3D,0
SR011-TL1-6700-6764,SR011,5,2D,0
SR011-TL1-7148-7212,SR011,5,3D,42.857142857142854
SR011-TL1-7148-7212,SR011,5,2D,28.57142857142857
SR011-TL1-7268-7332,SR011,5,3D,0
SR011-TL1-7268-7332,SR011,5,2D,18.181818181818183
SR011-TL1-7428-7492,SR011,5,3D,25
SR011-TL1-7428-7492,SR011,5,2D,16.666666666666664
SR011-TL1-7492-7556,SR011,5,3D,14.285714285714285
SR011-TL1-7492-7556,SR011,5,2D,25
SR011-TL1-7556-7620,SR011,5,3D,0
SR011-TL1-7556-7620,SR011,5,2D,30.76923076923077
SR011-TL1-7620-7684,SR011,5,3D,30.434782608695656
SR011-TL1-7620-7684,SR011,5,2D,52.17391304347826
SR011-TL1-7684-7748,SR011,5,3D,35.714285714285715
SR011-TL1-7684-7748,SR011,5,2D,28.57142857142857
SR011-TL1-7748-7812,SR011,5,3D,50
SR011-TL1-7748-7812,SR011,5,2D,75
SR011-TL1-7812-7876,SR011,5,3D,40
SR011-TL1-7812-7876,SR011,5,2D,20
