id,subject,fold,model,cls,bfscore
SR007-CR2-7675-7739,SR007,1,2D,fas,0.7219670880952381
SR007-CR2-7675-7739,SR007,1,2D,epi,0.6549289206349206
SR007-CR2-7675-7739,SR007,1,GT,fas,0.7918436426984127
SR007-CR2-7675-7739,SR007,1,GT,epi,0.6731426422222222
SR007-TL1-3150-3214,SR007,1,3D,fas,0.8472716136507936
SR007-TL1-3150-3214,SR007,1,3D,epi,0.847052443015873
SR007-TL1-3150-3214,SR007,1,2D,fas,0.6582969476190477
SR007-TL1-3150-3214,SR007,1,2D,epi,0.7452519141269841
SR007-TL1-3150-3214,SR007,1,GT,fas,0.71091180365079365
SR007-TL1-3150-3214,SR007,1,GT,epi,0.7548868855555555
SR007-TL1-370-434,SR007,1,3D,fas,0.8568835363492063
SR007-TL1-370-434,SR007,1,3D,epi,0.7706841538095238
SR007-TL1-370-434,SR007,1,2D,fas,0.705495016031746
SR007-TL1-370-434,SR007,1,2D,epi,0.5936882803174603
SR007-TL1-370-434,SR007,1,GT,fas,0.7027486084126984
SR007-TL1-370-434,SR007,1,GT,epi,0.6674207866666667
SR007-TL1-4680-4744,SR007,1,3D,fas,0.8487303263492063
SR007-TL1-4680-4744,SR007,1,3D,epi,0.7411930606349206
SR007-TL1-4680-4744,SR007,1,2D,fas,0.6711044052380952
SR007-TL1-4680-4744,SR007,1,2D,epi,0.6327212912698412
SR007-TL1-4680-4744,SR007,1,GT,fas,0.7544981626984127
SR007-TL1-4680-4744,SR007,1,GT,epi,0.6603971117460318
SR007-TL2-2216-2280,SR007,1,3D,fas,0.7937265988888889
SR007-TL2-2216-2280,SR007,1,3D,epi,0.7445957358730159
SR007-TL2-2216-2280,SR007,1,2D,fas,0.6230657622222222
SR007-TL2-2216-2280,SR007,1,2D,epi,0.6545670198412699
SR007-TL2-2216-2280,SR007,1,GT,fas,0.6483355277777778
SR007-TL2-2216-2280,SR007,1,GT,epi,0.6530133541269841
SR007-TR1-2760-2824,SR007,1,3D,fas,0.6994764712698412
SR007-TR1-2760-2824,SR007,1,3D,epi,0.6494328474603175
SR007-TR1-2760-2824,SR007,1,2D,fas,0.537897582063492
SR007-TR1-2760-2824,SR007,1,2D,epi,0.5358984806349206
SR007-TR1-2760-2824,SR007,1,GT,fas,0.5444431033333333
SR007-TR1-2760-2824,SR007,1,GT,epi,0.5395342488888889
SR007-TR1-5340-5404,SR007,1,3D,fas,0.797875986984127
SR007-TR1-5340-5404,SR007,1,3D,epi,0.7580660771428571
SR007-TR1-5340-5404,SR007,1,2D,fas,0.5194625719047619
SR007-TR1-5340-5404,SR007,1,2D,epi,0.6084107188888889
SR007-TR1-5340-5404,SR007,1,GT,fas,0.6817718373015873
SR007-TR1-5340-5404,SR007,1,GT,epi,0.6776292815873016
SR008-CL1-5080-5144,SR008,2,3D,fas,0.8241024401587301
SR008-CL1-5080-5144,SR008,2,3D,epi,0.788755574920635
SR008-CL1-5080-5144,SR008,2,2D,fas,0.6325584734920635
SR008-CL1-5080-5144,SR008,2,2D,epi,0.6646512863492063
SR008-CL1-5080-5144,SR008,2,GT,fas,0.7373110506984127
SR008-CL1-5080-5144,SR008,2,GT,epi,0.7174638388888889
SR008-CL2-1890-1954,SR008,2,3D,fas,0.9113552984126985
SR008-CL2-1890-1954,SR008,2,3D,epi,0.8838530973015873
SR008-CL2-1890-1954,SR008,2,2D,fas,0.7857360980952381
SR008-CL2-1890-1954,SR008,2,2D,epi,0.8058930261904762
SR008-CL2-1890-1954,SR008,2,GT,fas,0.8505833852380953
SR008-CL2-1890-1954,SR008,2,GT,epi,0.83724788000000006
SR008-CL2-5300-5364,SR008,2,3D,fas,0.9316993985714286
SR008-CL2-5300-5364,SR008,2,3D,epi,0.8832072698412698
SR008-CL2-5300-5364,SR008,2,2D,fas,0.6917081685714286
SR008-CL2-5300-5364,SR008,2,2D,epi,0.7262892733333334
SR008-CL2-5300-5364,SR008,2,GT,fas,0.8787730195238095
SR008-CL2-5300-5364,SR008,2,GT,epi,0.8464916938095238
SR008-CL2-6030-6094,SR008,2,3D,fas,0.9283889565079365
SR008-CL2-6030-6094,SR008,2,3D,epi,0.9188303458730158
SR008-CL2-6030-6094,SR008,2,2D,fas,0.6926768666666666
SR008-CL2-6030-6094,SR008,2,2D,epi,0.7758378555555555
SR008-CL2-6030-6094,SR008,2,GT,fas,0.8848690988888889
SR008-CL2-6030-6094,SR008,2,GT,epi,0.8754724666666667
SR008-CL2-6350-6414,SR008,2,3D,fas,0.9124674353968254
SR008-CL2-6350-6414,SR008,2,3D,epi,0.9124347836507937
SR008-CL2-6350-6414,SR008,2,2D,fas,0.6088175647619047
SR008-CL2-6350-6414,SR008,2,2D,epi,0.7366289142857143
SR008-CL2-6350-6414,SR008,2,GT,fas,0.8541940226984127
SR008-CL2-6350-6414,SR008,2,GT,epi,0.8541890838095239
SR008-CL2-7900-7964,SR008,2,3D,fas,0.8938692503174603
SR008-CL2-7900-7964,SR008,2,3D,epi,0.8273705952380952
SR008-CL2-7900-7964,SR008,2,2D,fas,0.7235563646031746
SR008-CL2-7900-7964,SR008,2,2D,epi,0.5890213342857142
SR008-CL2-7900-7964,SR008,2,GT,fas,0.8633184923809524
SR008-CL2-7900-7964,SR008,2,GT,epi,0.7427163793650794
SR008-CR1-4800-4864,SR008,2,3D,fas,0.8510026895238095
SR008-CR1-4800-4864,SR008,2,3D,epi,0.6452338179365079
SR008-CR1-4800-4864,SR008,2,2D,fas,0.526598343968254
SR008-CR1-4800-4864,SR008,2,2D,epi,0.5003312373015874
SR008-CR1-4800-4864,SR008,2,GT,fas,0.7794444503174603
SR008-CR1-4800-4864,SR008,2,GT,epi,0.6021265514285714
SR008-CR1-6480-6544,SR008,2,3D,fas,0.7147356665079365
SR008-CR1-6480-6544,SR008,2,3D,epi,0.6800460373015873
SR008-CR1-6480-6544,SR008,2,2D,fas,0.5342568503174603
SR008-CR1-6480-6544,SR008,2,2D,epi,0.5605788133333334
SR008-CR1-6480-6544,SR008,2,GT,fas,0.7251099841269841
SR008-CR1-6480-6544,SR008,2,GT,epi,0.6544623382539683
SR008-CR1-7620-7684,SR008,2,3D,fas,0.8094974676190476
SR008-CR1-7620-7684,SR008,2,3D,epi,0.7668392666666667
SR008-CR1-7620-7684,SR008,2,2D,fas,0.6744400882539683
SR008-CR1-7620-7684,SR008,2,2D,epi,0.6479348153968254
SR008-CR1-7620-7684,SR008,2,GT,fas,0.7452187896825396
SR008-CR1-7620-7684,SR008,2,GT,epi,0.7061932661904762
SR008-CR1-7760-7824,SR008,2,3D,fas,0.8559644922222223
SR008-CR1-7760-7824,SR008,2,3D,epi,0.73835135
SR008-CR1-7760-7824,SR008,2,2D,fas,0.7484502925396825
SR008-CR1-7760-7824,SR008,2,2D,epi,0.6123792503174603
SR008-CR1-7760-7824,SR008,2,GT,fas,0.7867046153968253
SR008-CR1-7760-7824,SR008,2,GT,epi,0.6856077882539683
SR008-CR2-640-704,SR008,2,3D,fas,0.9376464147619048
SR008-CR2-640-704,SR008,2,3D,epi,0.8731552946031746
SR008-CR2-640-704,SR008,2,2D,fas,0.816572556984127
SR008-CR2-640-704,SR008,2,2D,epi,0.7532335480952381
SR008-CR2-640-704,SR008,2,GT,fas,0.880776326984127
SR008-CR2-640-704,SR008,2,GT,epi,0.7976736911111111
SR008-TL1-1160-1224,SR008,2,3D,fas,0.931288312063492
