id,subject,fold,model,split_rate,merge_rate,split_gt,merge_gt,diff
SR007-CL1-4300-4364,SR007,1,3D,0,0,0,0,0
SR007-CL1-4300-4364,SR007,1,2D,5.482456140350877,9.594298245614034,0,0,7.5383771929824555
SR007-CL1-5700-5764,SR007,1,3D,0,1.3706140350877192,0,0,0.6853070175438596
SR007-CL1-5700-5764,SR007,1,2D,13.706140350877192,6.853070175438596,0,0,10.279605263157894
SR007-CL2-2610-2674,SR007,1,3D,0,0,0,0,0
SR007-CL2-2610-2674,SR007,1,2D,1.3706140350877192,0,0,0,0.6853070175438596
SR007-CL2-3900-3964,SR007,1,3D,0,0,1.3706140350877192,0,0.6853070175438596
SR007-CL2-3900-3964,SR007,1,2D,1.3706140350877192,0,1.3706140350877192,0,0
SR007-CL2-440-504,SR007,1,3D,5.482456140350877,0,2.7412280701754383,0,1.3706140350877192
SR007-CL2-440-504,SR007,1,2D,50.71271929824561,46.60087719298245,2.7412280701754383,0,47.286184210526315
SR007-CL2-7230-7294,SR007,1,3D,0,0,0,0,0
SR007-CL2-7230-7294,SR007,1,2D,0,0,0,0,0
SR007-CL3-1040-1104,SR007,1,3D,1.3706140350877192,10.964912280701753,0,0,6.167763157894736
SR007-CL3-1040-1104,SR007,1,2D,6.853070175438596,15.076754385964911,0,0,10.964912280701753
SR007-CR1-2630-2694,SR007,1,3D,1.3706140350877192,0,1.3706140350877192,0,0
SR007-CR1-2630-2694,SR007,1,2D,39.747807017543856,27.412280701754383,1.3706140350877192,0,32.89473684210526
SR007-CR1-3600-3664,SR007,1,3D,2.7412280701754383,2.7412280701754383,1.3706140350877192,2.7412280701754383,0.6853070175438596
SR007-CR1-3600-3664,SR007,1,2D,49.34210526315789,39.747807017543856,1.3706140350877192,2.7412280701754383,42.489035087719294
SR007-CR1-4670-4734,SR007,1,3D,5.482456140350877,0,1.3706140350877192,1.3706140350877192,2.7412280701754383
SR007-CR1-4670-4734,SR007,1,2D,31.52412280701754,10.964912280701753,1.3706140350877192,1.3706140350877192,19.873903508771928
SR007-CR1-5470-5534,SR007,1,3D,0,0,0,0,0
SR007-CR1-5470-5534,SR007,1,2D,1.3706140350877192,1.3706140350877192,0,0,1.3706140350877192
SR007-CR2-3970-4034,SR007,1,3D,1.3706140350877192,0,0,0,0.6853070175438596
SR007-CR2-3970-4034,SR007,1,2D,2.7412280701754383,2.7412280701754383,0,0,2.7412280701754383
SR007-CR2-520-584,SR007,1,3D,9.594298245614034,6.853070175438596,0,0,8.223684210526315
SR007-CR2-520-584,SR007,1,2D,1.3706140350877192,1.3706140350877192,0,0,1.3706140350877192
SR007-CR2-7675-7739,SR007,1,3D,0,2.7412280701754383,1.3706140350877192,4.1118421052631575,1.3706140350877192
SR007-CR2-7675-7739,SR007,1,2D,31.52412280701754,30.153508771929822,1.3706140350877192,4.1118421052631575,28.097587719298243
SR007-TL1-3150-3214,SR007,1,3D,0,0,0,0,0
SR007-TL1-3150-3214,SR007,1,2D,0,0,0,0,0
SR007-TL1-370-434,SR007,1,3D,4.1118421052631575,10.964912280701753,0,0,7.5383771929824555
SR007-TL1-370-434,SR007,1,2D,67.16008771929825,68.53070175438596,0,0,67.84539473684211
SR007-TL1-4680-4744,SR007,1,3D,1.3706140350877192,0,4.1118421052631575,1.3706140350877192,2.0559210526315788
SR007-TL1-4680-4744,SR007,1,2D,5.482456140350877,5.482456140350877,4.1118421052631575,1.3706140350877192,2.7412280701754383
SR007-TL2-2216-2280,SR007,1,3D,4.1118421052631575,6.853070175438596,1.3706140350877192,1.3706140350877192,4.1118421052631575
SR007-TL2-2216-2280,SR007,1,2D,10.964912280701753,24.671052631578945,1.3706140350877192,1.3706140350877192,16.44736842105263
SR007-TR1-2760-2824,SR007,1,3D,6.853070175438596,9.594298245614034,2.7412280701754383,1.3706140350877192,6.167763157894736
SR007-TR1-2760-2824,SR007,1,2D,60.307017543859644,65.78947368421052,2.7412280701754383,1.3706140350877192,60.9923245614035
SR007-TR1-5340-5404,SR007,1,3D,5.482456140350877,0,2.7412280701754383,0,1.3706140350877192
SR007-TR1-5340-5404,SR007,1,2D,28.782894736842103,23.300438596491226,2.7412280701754383,0,24.671052631578945
SR008-CL1-5080-5144,SR008,2,3D,6.853070175438596,4.1118421052631575,4.1118421052631575,4.1118421052631575,1.3706140350877192
SR008-CL1-5080-5144,SR008,2,2D,49.34210526315789,56.195175438596486,4.1118421052631575,4.1118421052631575,48.65679824561403
SR008-CL2-1890-1954,SR008,2,3D,1.3706140350877192,0,1.3706140350877192,0,0
SR008-CL2-1890-1954,SR008,2,2D,1.3706140350877192,0,1.3706140350877192,0,0
SR008-CL2-5300-5364,SR008,2,3D,0,0,0,0,0
SR008-CL2-5300-5364,SR008,2,2D,0,0,0,0,0
SR008-CL2-6030-6094,SR008,2,3D,0,0,0,0,0
SR008-CL2-6030-6094,SR008,2,2D,0,0,0,0,0
SR008-CL2-6350-6414,SR008,2,3D,0,0,0,0,0
SR008-CL2-6350-6414,SR008,2,2D,0,0,0,0,0
SR008-CL2-7900-7964,SR008,2,3D,8.223684210526315,4.1118421052631575,0,0,6.167763157894736
SR008-CL2-7900-7964,SR008,2,2D,65.78947368421052,63.04824561403508,0,0,64.4188596491228
SR008-CR1-4800-4864,SR008,2,3D,30.153508771929822,15.076754385964911,6.853070175438596,0,19.18859649122807
SR008-CR1-4800-4864,SR008,2,2D,89.08991228070175,82.23684210526315,6.853070175438596,0,82.23684210526315
SR008-CR1-6480-6544,SR008,2,3D,0,0,2.7412280701754383,5.482456140350877,4.1118421052631575
SR008-CR1-6480-6544,SR008,2,2D,38.37719298245614,26.041666666666664,2.7412280701754383,5.482456140350877,28.097587719298243
SR008-CR1-7620-7684,SR008,2,3D,30.153508771929822,30.153508771929822,4.1118421052631575,1.3706140350877192,27.412280701754383
SR008-CR1-7620-7684,SR008,2,2D,165.84429824561403,139.80263157894737,4.1118421052631575,1.3706140350877192,150.08223684210526
SR008-CR1-7760-7824,SR008,2,3D,12.335526315789473,10.964912280701753,1.3706140350877192,0,10.964912280701753
SR008-CR1-7760-7824,SR008,2,2D,131.57894736842104,115.13157894736841,1.3706140350877192,0,122.66995614035086
SR008-CR2-640-704,SR008,2,3D,0,1.3706140350877192,2.7412280701754383,2.7412280701754383,2.0559210526315788
SR008-CR2-640-704,SR008,2,2D,27.412280701754383,21.929824561403507,2.7412280701754383,2.7412280701754383,21.929824561403507
SR008-TL1-1160-1224,SR008,2,3D,0,0,0,0,0
SR008-TL1-1160-1224,SR008,2,2D,1.3706140350877192,1.3706140350877192,0,0,1.3706140350877192
SR008-TL1-1879-1943,SR008,2,3D,1.3706140350877192,9.594298245614034,1.3706140350877192,2.7412280701754383,3.426535087719298
SR008-TL1-1879-1943,SR008,2,2D,58.936403508771924,71.2719298245614,1.3706140350877192,2.7412280701754383,63.04824561403508
SR008-TL1-240-304,SR008,2,3D,9.594298245614034,8.223684210526315,1.3706140350877192,0,8.223684210526315
SR008-TL1-240-304,SR008,2,2D,42.489035087719294,63.04824561403508,1.3706140350877192,0,52.08333333333333
SR008-TL1-800-864,SR008,2,3D,0,0,0,0,0
SR008-TL1-800-864,SR008,2,2D,1.3706140350877192,4.1118421052631575,0,0,2.7412280701754383
SR008-TR1-1210-1274,SR008,2,3D,0,0,0,0,0
SR008-TR1-1210-1274,SR008,2,2D,0,0,0,0,0
SR008-TR1-1430-1494,SR008,2,3D,0,0,0,0,0
SR008-TR1-1430-1494,SR008,2,2D,47.97149122807017,84.97807017543859,0,0,66.47478070175438
SR008-TR1-1760-1824,SR008,2,3D,6.853070175438596,8.223684210526315,2.7412280701754383,0,6.167763157894736
SR008-TR1-1760-1824,SR008,2,2D,41.118421052631575,38.37719298245614,2.7412280701754383,0,38.37719298245614
SR008-TR1-2060-2124,SR008,2,3D,8.223684210526315,5.482456140350877,1.3706140350877192,2.7412280701754383,4.797149122807017
SR008-TR1-2060-2124,SR008,2,2D,39.747807017543856,35.6359649122807,1.3706140350877192,2.7412280701754383,35.6359649122807
SR008-TR1-670-734,SR008,2,3D,0,0,0,0,0
SR008-TR1-670-734,SR008,2,2D,2.7412280701754383,1.3706140350877192,0,0,2.0559210526315788
SR009-CL1-3900-3964,SR009,3,3D,38.37719298245614,17.81798245614035,9.594298245614034,1.3706140350877192,22.615131578947366
SR009-CL1-3900-3964,SR009,3,2D,61.67763157894736,47.97149122807017,9.594298245614034,1.3706140350877192,49.34210526315789
SR009-CL1-4400-4464,SR009,3,3D,5.482456140350877,13.706140350877192,2.7412280701754383,2.7412280701754383,6.853070175438596
SR009-CL1-4400-4464,SR009,3,2D,50.71271929824561,38.37719298245614,2.7412280701754383,2.7412280701754383,41.80372807017544
SR009-CL1-5380-5444,SR009,3,3D,0,1.3706140350877192,0,1.3706140350877192,0
SR009-CL1-5380-5444,SR009,3,2D,8.223684210526315,13.706140350877192,0,1.3706140350877192,10.279605263157894
SR009-CL1-6980-7044,SR009,3,3D,19.18859649122807,20.559210526315788,1.3706140350877192,1.3706140350877192,18.50328947368421
SR009-CL1-6980-7044,SR009,3,2D,72.64254385964912,71.2719298245614,1.3706140350877192,1.3706140350877192,70.58662280701753
SR009-CL2-2000-2064,SR009,3,3D,4.1118421052631575,0,2.7412280701754383,0,0.6853070175438596
SR009-CL2-2000-2064,SR009,3,2D,5.482456140350877,1.3706140350877192,2.7412280701754383,0,2.0559210526315788
SR009-CL2-3128-3192,SR009,3,3D,2.7412280701754383,0,0,1.3706140350877192,2.0559210526315788
SR009-CL2-3128-3192,SR009,3,2D,2.7412280701754383,0,0,1.3706140350877192,2.0559210526315788
SR009-CL2-6610-6674,SR009,3,3D,0,0,0,0,0
SR009-CL2-6610-6674,SR009,3,2D,0,0,0,0,0
SR009-CL2-7170-7234,SR009,3,3D,0,0,0,0,0
SR009-CL2-7170-7234,SR009,3,2D,0,0,0,0,0
SR009-CL2-910-974,SR009,3,3D,4.1118421052631575,4.1118421052631575,1.3706140350877192,0,3.426535087719298
SR009-CL2-910-974,SR009,3,2D,27.412280701754383,42.489035087719294,1.3706140350877192,0,34.26535087719298
SR009-CR1-3890-3954,SR009,3,3D,80.86622807017544,79.49561403508771,1.3706140350877192,4.1118421052631575,77.43969298245614
SR009-CR1-3890-3954,SR009,3,2D,49.34210526315789,52.08333333333333,1.3706140350877192,4.1118421052631575,47.97149122807017
SR009-CR1-7400-7464,SR009,3,3D,34.26535087719298,35.6359649122807,2.7412280701754383,1.3706140350877192,32.89473684210526
SR009-CR1-7400-7464,SR009,3,2D,216.55701754385964,215.18640350877192,2.7412280701754383,1.3706140350877192,213.81578947368422
SR009-CR2-1990-2054,SR009,3,3D,1.3706140350877192,0,1.3706140350877192,0,0
SR009-CR2-1990-2054,SR009,3,2D,1.3706140350877192,0,1.3706140350877192,0,0
SR009-CR3-1300-1364,SR009,3,3D,0,0,0,0,0
SR009-CR3-1300-1364,SR009,3,2D,4.1118421052631575,2.7412280701754383,0,0,3.426535087719298
SR009-CR3-2100-2164,SR009,3,3D,17.81798245614035,0,6.853070175438596,0,5.482456140350877
SR009-CR3-2100-2164,SR009,3,2D,54.82456140350877,43.859649122807014,6.853070175438596,0,45.91557017543859
SR009-CR3-800-864,SR009,3,3D,0,0,0,0,0
SR009-CR3-800-864,SR009,3,2D,1.3706140350877192,0,0,0,0.6853070175438596
SR009-TL1-4050-4114,SR009,3,3D,0,1.3706140350877192,0,0,0.6853070175438596
SR009-TL1-4050-4114,SR009,3,2D,0,0,0,0,0
SR009-TL1-4520-4584,SR009,3,3D,1.3706140350877192,1.3706140350877192,0,0,1.3706140350877192
SR009-TL1-4520-4584,SR009,3,2D,2.7412280701754383,6.853070175438596,0,0,4.797149122807017
SR009-TL1-6130-6194,SR009,3,3D,2.7412280701754383,0,2.7412280701754383,0,0
SR009-TL1-6130-6194,SR009,3,2D,13.706140350877192,12.335526315789473,2.7412280701754383,0,11.650219298245613
SR009-TR1-2930-2994,SR009,3,3D,12.335526315789473,4.1118421052631575,5.482456140350877,2.7412280701754383,4.1118421052631575
SR009-TR1-2930-2994,SR009,3,2D,10.964912280701753,4.1118421052631575,5.482456140350877,2.7412280701754383,3.426535087719298
SR009-TR1-5300-5364,SR009,3,3D,1.3706140350877192,5.482456140350877,0,0,3.426535087719298
SR009-TR1-5300-5364,SR009,3,2D,6.853070175438596,8.223684210526315,0,0,7.5383771929824555
SR010-CL1-4068-4132,SR010,4,3D,1.3706140350877192,0,0,0,0.6853070175438596
SR010-CL1-4068-4132,SR010,4,2D,2.7412280701754383,0,0,0,1.3706140350877192
SR010-CL1-6954-7018,SR010,4,3D,2.7412280701754383,4.1118421052631575,0,0,3.426535087719298
SR010-CL1-6954-7018,SR010,4,2D,2.7412280701754383,1.3706140350877192,0,0,2.0559210526315788
SR010-CL2-1125-1189,SR010,4,3D,0,0,0,0,0
SR010-CL2-1125-1189,SR010,4,2D,4.1118421052631575,4.1118421052631575,0,0,4.1118421052631575
SR010-CL2-3303-3367,SR010,4,3D,13.706140350877192,6.853070175438596,0,1.3706140350877192,9.594298245614034
SR010-CL2-3303-3367,SR010,4,2D,17.81798245614035,23.300438596491226,0,1.3706140350877192,19.873903508771928
SR010-CL2-997-1061,SR010,4,3D,0,1.3706140350877192,0,0,0.6853070175438596
SR010-CL2-997-1061,SR010,4,2D,8.223684210526315,8.223684210526315,0,0,8.223684210526315
SR010-CR1-5758-5822,SR010,4,3D,5.482456140350877,0,4.1118421052631575,1.3706140350877192,1.3706140350877192
SR010-CR1-5758-5822,SR010,4,2D,6.853070175438596,2.7412280701754383,4.1118421052631575,1.3706140350877192,2.0559210526315788
SR010-CR1-7692-7756,SR010,4,3D,4.1118421052631575,5.482456140350877,0,0,4.797149122807017
SR010-CR1-7692-7756,SR010,4,2D,30.153508771929822,35.6359649122807,0,0,32.89473684210526
SR010-TL1-1100-1164,SR010,4,3D,0,0,0,0,0
SR010-TL1-1100-1164,SR010,4,2D,0,0,0,0,0
SR010-TL1-2764-2828,SR010,4,3D,0,0,0,0,0
SR010-TL1-2764-2828,SR010,4,2D,0,0,0,0,0
SR010-TL1-4236-4300,SR010,4,3D,0,10.964912280701753,0,2.7412280701754383,4.1118421052631575
SR010-TL1-4236-4300,SR010,4,2D,15.076754385964911,28.782894736842103,0,2.7412280701754383,20.559210526315788
SR010-TR1-1055-1119,SR010,4,3D,0,0,0,0,0
SR010-TR1-1055-1119,SR010,4,2D,0,0,0,0,0
SR010-TR1-1183-1247,SR010,4,3D,0,0,0,0,0
SR010-TR1-1183-1247,SR010,4,2D,0,0,0,0,0
SR010-TR1-119-183,SR010,4,3D,8.223684210526315,6.853070175438596,1.3706140350877192,0,6.853070175438596
SR010-TR1-119-183,SR010,4,2D,86.34868421052632,84.97807017543859,1.3706140350877192,0,84.9780701754386
SR010-TR1-1439-1503,SR010,4,3D,0,0,0,0,0
SR010-TR1-1439-1503,SR010,4,2D,0,0,0,0,0
SR010-TR1-1619-1683,SR010,4,3D,1.3706140350877192,1.3706140350877192,1.3706140350877192,2.7412280701754383,0.6853070175438596
SR010-TR1-1619-1683,SR010,4,2D,6.853070175438596,4.1118421052631575,1.3706140350877192,2.7412280701754383,3.426535087719298
SR010-TR1-1747-1811,SR010,4,3D,5.482456140350877,2.7412280701754383,2.7412280701754383,2.7412280701754383,1.3706140350877192
SR010-TR1-1747-1811,SR010,4,2D,8.223684210526315,5.482456140350877,2.7412280701754383,2.7412280701754383,4.1118421052631575
SR010-TR1-183-247,SR010,4,3D,2.7412280701754383,2.7412280701754383,0,0,2.7412280701754383
SR010-TR1-183-247,SR010,4,2D,78.125,64.41885964912281,0,0,71.2719298245614
SR010-TR1-1875-1939,SR010,4,3D,0,0,1.3706140350877192,1.3706140350877192,1.3706140350877192
SR010-TR1-1875-1939,SR010,4,2D,1.3706140350877192,2.7412280701754383,1.3706140350877192,1.3706140350877192,0.6853070175438596
SR010-TR1-619-683,SR010,4,3D,1.3706140350877192,1.3706140350877192,0,0,1.3706140350877192
SR010-TR1-619-683,SR010,4,2D,37.00657894736842,45.23026315789473,0,0,41.118421052631575
SR010-TR1-939-1003,SR010,4,3D,0,0,0,0,0
SR010-TR1-939-1003,SR010,4,2D,0,0,0,0,0
SR011-CL1-2300-2364,SR011,5,3D,75.38377192982456,76.75438596491227,2.7412280701754383,5.482456140350877,71.95723684210526
SR011-CL1-2300-2364,SR011,5,2D,86.34868421052632,91.83114035087719,2.7412280701754383,5.482456140350877,84.9780701754386
SR011-CL1-2850-2914,SR011,5,3D,6.853070175438596,4.1118421052631575,1.3706140350877192,0,4.797149122807017
SR011-CL1-2850-2914,SR011,5,2D,45.23026315789473,50.71271929824561,1.3706140350877192,0,47.286184210526315
SR011-CL1-7000-7064,SR011,5,3D,12.335526315789473,1.3706140350877192,5.482456140350877,1.3706140350877192,3.426535087719298
