id,subject,fold,model,area_category,missed_rate
SR007-TL1-3150-3214,SR007,1,3D,Small,54.54545454545454
SR007-TL1-3150-3214,SR007,1,2D,Tiny,50
SR007-TL1-3150-3214,SR007,1,2D,Small,68.18181818181817
SR007-TL1-370-434,SR007,1,3D,Tiny,15.384615384615385
SR007-TL1-370-434,SR007,1,3D,Small,14.285714285714285
SR007-TL1-370-434,SR007,1,3D,Medium,25
SR007-TL1-370-434,SR007,1,2D,Tiny,15.384615384615385
SR007-TL1-370-434,SR007,1,2D,Small,18.181818181818183
SR007-TL1-370-434,SR007,1,2D,Medium,25
SR007-TL1-4680-4744,SR007,1,3D,Tiny,16.666666666666664
SR007-TL1-4680-4744,SR007,1,3D,Small,16.666666666666664
SR007-TL1-4680-4744,SR007,1,3D,Medium,16.666666666666664
SR007-TL1-4680-4744,SR007,1,2D,Tiny,16.666666666666664
SR007-TL1-4680-4744,SR007,1,2D,Small,16.666666666666664
SR007-TL2-2216-2280,SR007,1,3D,Tiny,16.260162601626014
SR007-TL2-2216-2280,SR007,1,3D,Small,18.69918699186992
SR007-TL2-2216-2280,SR007,1,3D,Medium,6.25
SR007-TL2-2216-2280,SR007,1,2D,Tiny,16.260162601626014
SR007-TL2-2216-2280,SR007,1,2D,Small,38.21138211382114
SR007-TL2-2216-2280,SR007,1,2D,Medium,10.638297872340425
SR007-TL2-2216-2280,SR007,1,2D,Large,6.451612903225806
SR007-TR1-2760-2824,SR007,1,3D,Tiny,11.11111111111111
SR007-TR1-2760-2824,SR007,1,3D,Small,14.444444444444443
SR007-TR1-2760-2824,SR007,1,3D,Medium,12.5
SR007-TR1-2760-2824,SR007,1,2D,Tiny,11.11111111111111
SR007-TR1-2760-2824,SR007,1,2D,Small,15.18987341772152
SR007-TR1-2760-2824,SR007,1,2D,Medium,8.695652173913043
SR007-TR1-5340-5404,SR007,1,3D,Tiny,20.8955223880597
SR007-TR1-5340-5404,SR007,1,3D,Small,27.884615384615387
SR007-TR1-5340-5404,SR007,1,3D,Medium,14.0625
SR007-TR1-5340-5404,SR007,1,3D,Large,9.803921568627452
SR007-TR1-5340-5404,SR007,1,2D,Tiny,23.88059701492537
SR007-TR1-5340-5404,SR007,1,2D,Small,32.69230769230769
SR007-TR1-5340-5404,SR007,1,2D,Medium,17.5
SR007-TR1-5340-5404,SR007,1,2D,Large,10.526315789473683
SR008-CL1-5080-5144,SR008,2,3D,Tiny,15.151515151515152
SR008-CL1-5080-5144,SR008,2,3D,Small,11.475409836065573
SR008-CL1-5080-5144,SR008,2,3D,Medium,8.21917808219178
SR008-CL1-5080-5144,SR008,2,2D,Tiny,15.151515151515152
SR008-CL1-5080-5144,SR008,2,2D,Small,17.333333333333336
SR008-CL1-5080-5144,SR008,2,2D,Medium,8.16326530612245
SR008-CL2-1890-1954,SR008,2,3D,Tiny,33.33333333333333
SR008-CL2-1890-1954,SR008,2,3D,Small,20
SR008-CL2-1890-1954,SR008,2,2D,Tiny,24.390243902439025
SR008-CL2-1890-1954,SR008,2,2D,Small,20
SR008-CL2-5300-5364,SR008,2,3D,Small,24
SR008-CL2-5300-5364,SR008,2,3D,Medium,20
SR008-CL2-5300-5364,SR008,2,2D,Small,32.5
SR008-CL2-5300-5364,SR008,2,2D,Medium,20
SR008-CL2-6030-6094,SR008,2,3D,Small,25
SR008-CL2-6030-6094,SR008,2,3D,Medium,14.285714285714285
SR008-CL2-6030-6094,SR008,2,2D,Small,33.89830508474576
SR008-CL2-6030-6094,SR008,2,2D,Medium,18.6046511627907
SR008-CL2-6350-6414,SR008,2,3D,Tiny,18.421052631578945
SR008-CL2-6350-6414,SR008,2,3D,Small,19.230769230769234
SR008-CL2-6350-6414,SR008,2,3D,Medium,16.666666666666664
SR008-CL2-6350-6414,SR008,2,3D,Large,18.181818181818183
SR008-CL2-6350-6414,SR008,2,2D,Tiny,18.181818181818183
SR008-CL2-6350-6414,SR008,2,2D,Small,20
SR008-CL2-6350-6414,SR008,2,2D,Medium,22.22222222222222
SR008-CL2-6350-6414,SR008,2,2D,Large,16.666666666666664
SR008-CL2-7900-7964,SR008,2,3D,Small,12.5
SR008-CL2-7900-7964,SR008,2,3D,Medium,14.285714285714285
SR008-CL2-7900-7964,SR008,2,2D,Small,18.181818181818183
SR008-CL2-7900-7964,SR008,2,2D,Medium,14.285714285714285
SR008-CR1-4800-4864,SR008,2,3D,Tiny,6.944444444444445
SR008-CR1-4800-4864,SR008,2,3D,Small,10.309278350515463
SR008-CR1-4800-4864,SR008,2,3D,Medium,6.666666666666667
SR008-CR1-4800-4864,SR008,2,2D,Tiny,6.944444444444445
SR008-CR1-4800-4864,SR008,2,2D,Small,16.216216216216218
SR008-CR1-4800-4864,SR008,2,2D,Medium,7.4074074074074066
SR008-CR1-6480-6544,SR008,2,3D,Tiny,8.130081300813007
SR008-CR1-6480-6544,SR008,2,3D,Small,7.954545454545454
SR008-CR1-6480-6544,SR008,2,3D,Medium,5.555555555555555
SR008-CR1-6480-6544,SR008,2,2D,Tiny,8.94308943089431
SR008-CR1-6480-6544,SR008,2,2D,Small,9.433962264150944
SR008-CR1-6480-6544,SR008,2,2D,Medium,5.555555555555555
SR008-CR1-6480-6544,SR008,2,2D,Large,5.555555555555555
SR008-CR1-7620-7684,SR008,2,3D,Tiny,7.777777777777778
SR008-CR1-7620-7684,SR008,2,3D,Small,9.803921568627452
SR008-CR1-7620-7684,SR008,2,3D,Medium,15.730337078651685
