id,subject,fold,model,metric,value
SR008-TR1-1760-1824,SR008,2,3D,error_rate,1.00517966951934
SR008-TR1-1760-1824,SR008,2,3D Base,error_rate,1.0345128422547758
SR008-TR1-2060-2124,SR008,2,3D,error_rate,0.47554423017661157
SR008-TR1-2060-2124,SR008,2,3D Base,error_rate,0.5475983113424959
SR008-TR1-670-734,SR008,2,3D,error_rate,0.1099978342395331
SR008-TR1-670-734,SR008,2,3D Base,error_rate,0.10696545047690087
SR009-CL1-3900-3964,SR009,3,3D,error_rate,1.2911837332925198
SR009-CL1-3900-3964,SR009,3,3D Base,error_rate,1.4654955549020723
SR009-CL1-4400-4464,SR009,3,3D,error_rate,0.5631196584322772
SR009-CL1-4400-4464,SR009,3,3D Base,error_rate,0.6589974620514878
SR009-CL1-5380-5444,SR009,3,3D,error_rate,0.09996597265051785
SR009-CL1-5380-5444,SR009,3,3D Base,error_rate,0.10951017130322259
SR009-CL1-6980-7044,SR009,3,3D,error_rate,0.5263843705947209
SR009-CL1-6980-7044,SR009,3,3D Base,error_rate,0.49080928632895304
SR009-CL2-2000-2064,SR009,3,3D,error_rate,0.654924081867842
SR009-CL2-2000-2064,SR009,3,3D Base,error_rate,0.7073089451306735
SR009-CL2-3128-3192,SR009,3,3D,error_rate,0.34692168273982493
SR009-CL2-3128-3192,SR009,3,3D Base,error_rate,0.41619785648081953
SR009-CL2-6610-6674,SR009,3,3D,error_rate,0.1639746842716632
SR009-CL2-6610-6674,SR009,3,3D Base,error_rate,0.24725718293276683
SR009-CL2-7170-7234,SR009,3,3D,error_rate,0.394832148294875
SR009-CL2-7170-7234,SR009,3,3D Base,error_rate,0.471822316772783
SR009-CL2-910-974,SR009,3,3D,error_rate,0.7566809018048084
SR009-CL2-910-974,SR009,3,3D Base,error_rate,0.8402344284158993
SR009-CR1-3890-3954,SR009,3,3D,error_rate,0.8038786225940021
SR009-CR1-3890-3954,SR009,3,3D Base,error_rate,0.6744894286021209
SR009-CR1-7400-7464,SR009,3,3D,error_rate,0.7600619691601715
SR009-CR1-7400-7464,SR009,3,3D Base,error_rate,1.5960588399212192
SR009-CR2-1990-2054,SR009,3,3D,error_rate,0.4544179258327873
SR009-CR2-1990-2054,SR009,3,3D Base,error_rate,0.4879282532839062
SR009-CR3-1300-1364,SR009,3,3D,error_rate,0.3855209406274438
SR009-CR3-1300-1364,SR009,3,3D Base,error_rate,0.39450296532339213
SR009-CR3-2100-2164,SR009,3,3D,error_rate,2.0192903738375074
SR009-CR3-2100-2164,SR009,3,3D Base,error_rate,2.05904794778483
SR009-CR3-800-864,SR009,3,3D,error_rate,0.31329831103674977
SR009-CR3-800-864,SR009,3,3D Base,error_rate,0.30916907305377905
SR009-TL1-4050-4114,SR009,3,3D,error_rate,0.46992271681877834
SR009-TL1-4050-4114,SR009,3,3D Base,error_rate,0.51412170844166
SR009-TL1-4520-4584,SR009,3,3D,error_rate,0.6224880473419463
SR009-TL1-4520-4584,SR009,3,3D Base,error_rate,0.6491016535093639
SR009-TL1-6130-6194,SR009,3,3D,error_rate,0.563558798972414
SR009-TL1-6130-6194,SR009,3,3D Base,error_rate,0.6062276223427159
SR009-TR1-2930-2994,SR009,3,3D,error_rate,0.4550461270341529
SR009-TR1-2930-2994,SR009,3,3D Base,error_rate,0.4818940020497909
SR009-TR1-5300-5364,SR009,3,3D,error_rate,0.6225523894130142
SR009-TR1-5300-5364,SR009,3,3D Base,error_rate,0.48930637032260993
SR010-CL1-4068-4132,SR010,4,3D,error_rate,0.2529813217762079
SR010-CL1-4068-4132,SR010,4,3D Base,error_rate,0.20197577712235806
SR010-CL1-6954-7018,SR010,4,3D,error_rate,0.4992697431226787
SR010-CL1-6954-7018,SR010,4,3D Base,error_rate,0.5353171587293322
SR010-CL2-1125-1189,SR010,4,3D,error_rate,0.30430848522686965
SR010-CL2-1125-1189,SR010,4,3D Base,error_rate,0.3274168873881902
SR010-CL2-3303-3367,SR010,4,3D,error_rate,0.6154142670424376
SR010-CL2-3303-3367,SR010,4,3D Base,error_rate,0.6743978821364288
SR010-CL2-997-1061,SR010,4,3D,error_rate,0.42279843604395745
SR010-CL2-997-1061,SR010,4,3D Base,error_rate,0.4503791066684945
SR010-CR1-5758-5822,SR010,4,3D,error_rate,0.33940899546271164
SR010-CR1-5758-5822,SR010,4,3D Base,error_rate,0.3581946848183639
SR010-CR1-7692-7756,SR010,4,3D,error_rate,0.4758327716361625
SR010-CR1-7692-7756,SR010,4,3D Base,error_rate,0.4514329900122494
SR010-TL1-1100-1164,SR010,4,3D,error_rate,0.03837479161899781
SR010-TL1-1100-1164,SR010,4,3D Base,error_rate,0.035678551255141425
SR010-TL1-2764-2828,SR010,4,3D,error_rate,0.10148747900049651
SR010-TL1-2764-2828,SR010,4,3D Base,error_rate,0.08900689645805908
SR010-TL1-4236-4300,SR010,4,3D,error_rate,1.3529500442143543
SR010-TL1-4236-4300,SR010,4,3D Base,error_rate,1.247861962628061
SR010-TR1-1055-1119,SR010,4,3D,error_rate,0.2391574227774093
SR010-TR1-1055-1119,SR010,4,3D Base,error_rate,0.26892302359067316
SR010-TR1-1183-1247,SR010,4,3D,error_rate,0.08721369817730404
SR010-TR1-1183-1247,SR010,4,3D Base,error_rate,0.13068510431633654
SR010-TR1-119-183,SR010,4,3D,error_rate,1.0865365596200305
SR010-TR1-119-183,SR010,4,3D Base,error_rate,3.096091977572563
SR010-TR1-1439-1503,SR010,4,3D,error_rate,0.4450187718399462
SR010-TR1-1439-1503,SR010,4,3D Base,error_rate,0.5104313786780268
SR010-TR1-1619-1683,SR010,4,3D,error_rate,0.6166720137274518
SR010-TR1-1619-1683,SR010,4,3D Base,error_rate,0.6436161398756894
SR010-TR1-1747-1811,SR010,4,3D,error_rate,0.5040936331330804
SR010-TR1-1747-1811,SR010,4,3D Base,error_rate,0.4679911981438369
SR010-TR1-183-247,SR010,4,3D,error_rate,1.4664903667693012
SR010-TR1-183-247,SR010,4,3D Base,error_rate,1.4342778737771784
SR010-TR1-1875-1939,SR010,4,3D,error_rate,0.727465275780052
SR010-TR1-1875-1939,SR010,4,3D Base,error_rate,0.7228997635692538
SR010-TR1-619-683,SR010,4,3D,error_rate,0.22173713554773855
SR010-TR1-619-683,SR010,4,3D Base,error_rate,0.1688242366971516
SR010-TR1-939-1003,SR010,4,3D,error_rate,0.15067490266580397
SR010-TR1-939-1003,SR010,4,3D Base,error_rate,0.16045618997923408
SR011-CL1-2300-2364,SR011,5,3D,error_rate,1.0334000276833821
SR011-CL1-2300-2364,SR011,5,3D Base,error_rate,2.1033827830917184
SR011-CL1-2850-2914,SR011,5,3D,error_rate,0.2099665747332156
SR011-CL1-2850-2914,SR011,5,3D Base,error_rate,1.5999522469782725
SR011-CL1-7000-7064,SR011,5,3D,error_rate,0.5462472899299402
SR011-CL1-7000-7064,SR011,5,3D Base,error_rate,0.5431986165421602
SR011-CL2-4040-4104,SR011,5,3D,error_rate,0.47731188648140793
SR011-CL2-4040-4104,SR011,5,3D Base,error_rate,0.4687080264400727
SR011-CR1-1850-1914,SR011,5,3D,error_rate,1.4253011788792813
SR011-CR1-1850-1914,SR011,5,3D Base,error_rate,1.2119786781784478
SR011-CR1-6100-6164,SR011,5,3D,error_rate,0.5638717226914981
SR011-CR1-6100-6164,SR011,5,3D Base,error_rate,0.6029106670642094
SR011-CR1-6780-6844,SR011,5,3D,error_rate,1.1271559600815222
SR011-CR1-6780-6844,SR011,5,3D Base,error_rate,0.38081599757190143
SR011-TL1-4428-4492,SR011,5,3D,error_rate,0.7489275991547911
SR011-TL1-4428-4492,SR011,5,3D Base,error_rate,0.9192786242853088
SR011-TL1-5500-5564,SR011,5,3D,error_rate,0.4909779942160135
SR011-TL1-5500-5564,SR011,5,3D Base,error_rate,0.49049617535758216
SR011-TL1-6164-6228,SR011,5,3D,error_rate,0.5654929012593246
SR011-TL1-6164-6228,SR011,5,3D Base,error_rate,0.5820157298962133
SR011-TL1-6700-6764,SR011,5,3D,error_rate,0.3935528326251225
SR011-TL1-6700-6764,SR011,5,3D Base,error_rate,0.41012231031843144
SR011-TL1-7148-7212,SR011,5,3D,error_rate,0.649713140027335
SR011-TL1-7148-7212,SR011,5,3D Base,error_rate,0.6982025311232498
SR011-TL1-7268-7332,SR011,5,3D,error_rate,0.5731306569998057
SR011-TL1-7268-7332,SR011,5,3D Base,error_rate,0.4659153901565809
SR011-TL1-7428-7492,SR011,5,3D,error_rate,1.4442716854422557
SR011-TL1-7428-7492,SR011,5,3D Base,error_rate,1.470355883326962
SR011-TL1-7492-7556,SR011,5,3D,error_rate,1.1621648653330001
SR011-TL1-7492-7556,SR011,5,3D Base,error_rate,1.1676780046540074
SR011-TL1-7556-7620,SR011,5,3D,error_rate,0.9629193705191725
SR011-TL1-7556-7620,SR011,5,3D Base,error_rate,0.9379453634183379
SR011-TL1-7620-7684,SR011,5,3D,error_rate,1.1510263842370272
SR011-TL1-7620-7684,SR011,5,3D Base,error_rate,1.2239709676052646
SR011-TL1-7684-7748,SR011,5,3D,error_rate,1.719897300473393
SR011-TL1-7684-7748,SR011,5,3D Base,error_rate,1.837151701773053
SR011-TL1-7748-7812,SR011,5,3D,error_rate,1.8369759870725002
SR011-TL1-7748-7812,SR011,5,3D Base,error_rate,2.0860490499204887
SR011-TL1-7812-7876,SR011,5,3D,error_rate,1.4076293261188215
SR011-TL1-7812-7876,SR011,5,3D Base,error_rate,1.4924759935685363
