cls,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.adj,p.adj.signif,y.position,groups,xmin,xmax
fas,0.27820433000495776,bfscore,3D,2D,100,100,5050,3.96e-18,0.2559219421478421,0.3024629290268322,Wilcoxon,two.sided,2.3759999999999997e-17,****,0.9127600000000001,,1,2
fas,0.05671227173234607,bfscore,3D,GT,100,100,4861,9.73e-16,0.04695462829152881,0.06650791242842212,Wilcoxon,two.sided,5.8380000000000006e-15,****,0.9619000000000002,,1,3
fas,-0.22031430474387131,bfscore,2D,GT,100,100,4,4.46e-18,-0.2504206498692507,-0.1971514304551755,Wilcoxon,two.sided,2.6760000000000002e-17,****,1.0110400000000002,,2,3
epi,0.17757607956923424,bfscore,3D,2D,100,100,5050,3.96e-18,0.16339968451025924,0.19151542681218814,Wilcoxon,two.sided,2.3759999999999997e-17,****,0.8757600000000001,,1,2
epi,0.04879989904761897,bfscore,3D,GT,100,100,4846,1.48e-15,0.04056366000503913,0.05688760487486911,Wilcoxon,two.sided,8.879999999999999e-15,****,0.92490000000000006,,1,3
epi,-0.12842231980127683,bfscore,2D,GT,100,100,1,4.08e-18,-0.14666567825643773,-0.11068953604703007,Wilcoxon,two.sided,2.448e-17,****,0.9740400000000001,,2,3
