id,subject,fold,model,cls,metric,value
SR008-TL1-240-304,SR008,2,3D Base,fas,cl_dice,0.9901823281907433
SR008-TL1-800-864,SR008,2,3D,fas,cl_dice,0.8963133640552995
SR008-TL1-800-864,SR008,2,3D Base,fas,cl_dice,0.9095048377916904
SR008-TR1-1210-1274,SR008,2,3D,fas,cl_dice,0.845209904841009
SR008-TR1-1210-1274,SR008,2,3D Base,fas,cl_dice,0.8560608809403317
SR008-TR1-1430-1494,SR008,2,3D,fas,cl_dice,0.9694672925369278
SR008-TR1-1430-1494,SR008,2,3D Base,fas,cl_dice,0.8968396300127248
SR008-TR1-1760-1824,SR008,2,3D,fas,cl_dice,0.9471465237879751
SR008-TR1-1760-1824,SR008,2,3D Base,fas,cl_dice,0.9370383023594234
SR008-TR1-2060-2124,SR008,2,3D,fas,cl_dice,0.965842813816575
SR008-TR1-2060-2124,SR008,2,3D Base,fas,cl_dice,0.9614433093057876
SR008-TR1-670-734,SR008,2,3D,fas,cl_dice,0.9207740918267568
SR008-TR1-670-734,SR008,2,3D Base,fas,cl_dice,0.9353199262592246
SR009-CL1-3900-3964,SR009,3,3D,fas,cl_dice,0.8378763812477961
SR009-CL1-3900-3964,SR009,3,3D Base,fas,cl_dice,0.8233718715854101
SR009-CL1-4400-4464,SR009,3,3D,fas,cl_dice,0.86079358369830306
SR009-CL1-4400-4464,SR009,3,3D Base,fas,cl_dice,0.7563383437256462
SR009-CL1-5380-5444,SR009,3,3D,fas,cl_dice,0.912926828978156
SR009-CL1-5380-5444,SR009,3,3D Base,fas,cl_dice,0.8959670433851464
SR009-CL1-6980-7044,SR009,3,3D,fas,cl_dice,0.9617127111346826
SR009-CL1-6980-7044,SR009,3,3D Base,fas,cl_dice,0.9813369657076316
SR009-CL2-2000-2064,SR009,3,3D,fas,cl_dice,0.9111245965199776
SR009-CL2-2000-2064,SR009,3,3D Base,fas,cl_dice,0.9307501884784034
SR009-CL2-3128-3192,SR009,3,3D,fas,cl_dice,0.9851841737572268
SR009-CL2-3128-3192,SR009,3,3D Base,fas,cl_dice,0.9762000535585632
SR009-CL2-6610-6674,SR009,3,3D,fas,cl_dice,0.9198030004657286
SR009-CL2-6610-6674,SR009,3,3D Base,fas,cl_dice,0.9155584573450216
SR009-CL2-7170-7234,SR009,3,3D,fas,cl_dice,0.9200501715548952
SR009-CL2-7170-7234,SR009,3,3D Base,fas,cl_dice,0.92559697285465
SR009-CL2-910-974,SR009,3,3D,fas,cl_dice,0.9726855850533236
SR009-CL2-910-974,SR009,3,3D Base,fas,cl_dice,0.9611185604422032
SR009-CR1-3890-3954,SR009,3,3D,fas,cl_dice,0.9303909741120724
SR009-CR1-3890-3954,SR009,3,3D Base,fas,cl_dice,0.8866906474820143
SR009-CR1-7400-7464,SR009,3,3D,fas,cl_dice,0.9661192819368976
SR009-CR1-7400-7464,SR009,3,3D Base,fas,cl_dice,0.9628967709648532
SR009-CR2-1990-2054,SR009,3,3D,fas,cl_dice,0.931354915609074
SR009-CR2-1990-2054,SR009,3,3D Base,fas,cl_dice,0.942048235571864
SR009-CR3-1300-1364,SR009,3,3D,fas,cl_dice,0.9366418486721754
SR009-CR3-1300-1364,SR009,3,3D Base,fas,cl_dice,0.876666502681163
SR009-CR3-2100-2164,SR009,3,3D,fas,cl_dice,0.8779544366680035
SR009-CR3-2100-2164,SR009,3,3D Base,fas,cl_dice,0.8870432232339432
SR009-CR3-800-864,SR009,3,3D,fas,cl_dice,0.965858558188376
SR009-CR3-800-864,SR009,3,3D Base,fas,cl_dice,0.9677245728602524
SR009-TL1-4050-4114,SR009,3,3D,fas,cl_dice,0.9389774956722448
SR009-TL1-4050-4114,SR009,3,3D Base,fas,cl_dice,0.8840800008329082
SR009-TL1-4520-4584,SR009,3,3D,fas,cl_dice,0.8507632934183298
SR009-TL1-4520-4584,SR009,3,3D Base,fas,cl_dice,0.7235570902919698
SR009-TL1-6130-6194,SR009,3,3D,fas,cl_dice,0.9672826219361852
SR009-TL1-6130-6194,SR009,3,3D Base,fas,cl_dice,0.9613111588023624
SR009-TR1-2930-2994,SR009,3,3D,fas,cl_dice,0.8285973765764416
SR009-TR1-2930-2994,SR009,3,3D Base,fas,cl_dice,0.8380157121679783
SR009-TR1-5300-5364,SR009,3,3D,fas,cl_dice,0.8300278737403214
SR009-TR1-5300-5364,SR009,3,3D Base,fas,cl_dice,0.832363865238171
