id,subject,fold,model,cls,metric,value
SR008-TL1-800-864,SR008,2,3D,fas,cl_dice,0.8963133640552995
SR008-TL1-800-864,SR008,2,2D,fas,cl_dice,0.8981755532976984
SR008-TR1-1210-1274,SR008,2,3D,fas,cl_dice,0.845209904841009
SR008-TR1-1210-1274,SR008,2,2D,fas,cl_dice,0.8038198521567439
SR008-TR1-1430-1494,SR008,2,3D,fas,cl_dice,0.9694672925369278
SR008-TR1-1430-1494,SR008,2,2D,fas,cl_dice,0.9489041051435988
SR008-TR1-1760-1824,SR008,2,3D,fas,cl_dice,0.9471465237879751
SR008-TR1-1760-1824,SR008,2,2D,fas,cl_dice,0.929417742119401
SR008-TR1-2060-2124,SR008,2,3D,fas,cl_dice,0.965842813816575
SR008-TR1-2060-2124,SR008,2,2D,fas,cl_dice,0.9421862979720316
SR008-TR1-670-734,SR008,2,3D,fas,cl_dice,0.9207740918267568
SR008-TR1-670-734,SR008,2,2D,fas,cl_dice,0.8507206217006982
SR009-CL1-3900-3964,SR009,3,3D,fas,cl_dice,0.8378763812477961
SR009-CL1-3900-3964,SR009,3,2D,fas,cl_dice,0.8299012919722776
SR009-CL1-4400-4464,SR009,3,3D,fas,cl_dice,0.86079358369830306
SR009-CL1-4400-4464,SR009,3,2D,fas,cl_dice,0.7892633923804794
SR009-CL1-5380-5444,SR009,3,3D,fas,cl_dice,0.912926828978156
SR009-CL1-5380-5444,SR009,3,2D,fas,cl_dice,0.8233107118603156
SR009-CL1-6980-7044,SR009,3,3D,fas,cl_dice,0.9617127111346826
SR009-CL1-6980-7044,SR009,3,2D,fas,cl_dice,0.8991129709904216
SR009-CL2-2000-2064,SR009,3,3D,fas,cl_dice,0.9111245965199776
SR009-CL2-2000-2064,SR009,3,2D,fas,cl_dice,0.891189631053875
SR009-CL2-3128-3192,SR009,3,3D,fas,cl_dice,0.9851841737572268
SR009-CL2-3128-3192,SR009,3,2D,fas,cl_dice,0.9037541161395328
SR009-CL2-6610-6674,SR009,3,3D,fas,cl_dice,0.9198030004657286
SR009-CL2-6610-6674,SR009,3,2D,fas,cl_dice,0.7606414254446049
SR009-CL2-7170-7234,SR009,3,3D,fas,cl_dice,0.9200501715548952
SR009-CL2-7170-7234,SR009,3,2D,fas,cl_dice,0.8274359094730641
SR009-CL2-910-974,SR009,3,3D,fas,cl_dice,0.9726855850533236
SR009-CL2-910-974,SR009,3,2D,fas,cl_dice,0.9317041991074596
SR009-CR1-3890-3954,SR009,3,3D,fas,cl_dice,0.9303909741120724
SR009-CR1-3890-3954,SR009,3,2D,fas,cl_dice,0.6217584295185671
SR009-CR1-7400-7464,SR009,3,3D,fas,cl_dice,0.9661192819368976
SR009-CR1-7400-7464,SR009,3,2D,fas,cl_dice,0.9061179690655514
SR009-CR2-1990-2054,SR009,3,3D,fas,cl_dice,0.931354915609074
SR009-CR2-1990-2054,SR009,3,2D,fas,cl_dice,0.7859606375392306
SR009-CR3-1300-1364,SR009,3,3D,fas,cl_dice,0.9366418486721754
SR009-CR3-1300-1364,SR009,3,2D,fas,cl_dice,0.7480325643570288
SR009-CR3-2100-2164,SR009,3,3D,fas,cl_dice,0.8779544366680035
SR009-CR3-2100-2164,SR009,3,2D,fas,cl_dice,0.6771479881812561
SR009-CR3-800-864,SR009,3,3D,fas,cl_dice,0.965858558188376
SR009-CR3-800-864,SR009,3,2D,fas,cl_dice,0.6915569448529897
SR009-TL1-4050-4114,SR009,3,3D,fas,cl_dice,0.9389774956722448
SR009-TL1-4050-4114,SR009,3,2D,fas,cl_dice,0.8987370030136341
SR009-TL1-4520-4584,SR009,3,3D,fas,cl_dice,0.8507632934183298
SR009-TL1-4520-4584,SR009,3,2D,fas,cl_dice,0.8203423585370329
SR009-TL1-6130-6194,SR009,3,3D,fas,cl_dice,0.9672826219361852
SR009-TL1-6130-6194,SR009,3,2D,fas,cl_dice,0.8765203194934582
SR009-TR1-2930-2994,SR009,3,3D,fas,cl_dice,0.8285973765764416
SR009-TR1-2930-2994,SR009,3,2D,fas,cl_dice,0.73121520619374
SR009-TR1-5300-5364,SR009,3,3D,fas,cl_dice,0.8300278737403214
SR009-TR1-5300-5364,SR009,3,2D,fas,cl_dice,0.6899002194218905
SR010-CL1-4068-4132,SR010,4,3D,fas,cl_dice,0.8645077173399024
SR010-CL1-4068-4132,SR010,4,2D,fas,cl_dice,0.8422818888148872
SR010-CL1-6954-7018,SR010,4,3D,fas,cl_dice,0.9532710280373832
SR010-CL1-6954-7018,SR010,4,2D,fas,cl_dice,0.9631794552626955
SR010-CL2-1125-1189,SR010,4,3D,fas,cl_dice,0.8408227523186969
SR010-CL2-1125-1189,SR010,4,2D,fas,cl_dice,0.9162127605818792
